# real,imag
9.999999999999997780e-01,0.000000000000000000e+00
9.989640637001054868e-01,-3.296387158662477529e-02
9.958684635333645563e-01,-6.573333797254304889e-02
9.907494677500764402e-01,-9.811779380784091398e-02
9.836663497293457459e-01,-1.299340785327008918e-01
9.746996938365307672e-01,-1.610098222263713352e-01
9.639491505984215669e-01,-1.911863685280858483e-01
9.515307552510651190e-01,-2.203211786585568266e-01
9.375739396224125333e-01,-2.482896532173829995e-01
9.222183734990935244e-01,-2.749863428269594401e-01
9.056107684661508506e-01,-3.003255519020195385e-01
8.879017659392580697e-01,-3.242413693385344242e-01
8.692430135865358842e-01,-3.466871838893665347e-01
8.497845127400202037e-01,-3.676347593525960411e-01
8.296722959372010431e-01,-3.870729551347894537e-01
8.090464704152706688e-01,-4.050061816249077573e-01
7.880396418323341035e-01,-4.214526779872767026e-01
7.667757138731334798e-01,-4.364426936300916382e-01
7.453690443942616595e-01,-4.500166450355823633e-01
7.239239276213860208e-01,-4.622233081308231295e-01
7.025343645188604214e-01,-4.731180940773584975e-01
6.812840794428587365e-01,-4.827614441986795568e-01
6.602467400358549288e-01,-4.912173684453065015e-01
6.394863384240152548e-01,-4.985521417820934498e-01
6.190576945380068530e-01,-5.048331644265102724e-01
5.990070462365028048e-01,-5.101279850538565919e-01
5.793726953914952738e-01,-5.145034808700936768e-01
5.601856838074109612e-01,-5.180251847013110922e-01
5.414704774964010925e-01,-5.207567467740700229e-01
5.232456422106971372e-01,-5.227595174527706057e-01
5.055244971046595204e-01,-5.240922366462532622e-01
4.883157368902909523e-01,-5.248108156965370918e-01
4.716240158336458266e-01,-5.249681981399563213e-01
4.554504894232376255e-01,-5.246142866334226884e-01
4.397933115558177453e-01,-5.237959244417542681e-01
4.246480866746174532e-01,-5.225569210878820980e-01
4.100082775122941836e-01,-5.209381130017096684e-01
3.958655699894987889e-01,-5.189774512113392024e-01
3.822101974527924995e-01,-5.167101092650485672e-01
3.690312268514299721e-01,-5.141686056301257857e-01
3.563168096950973807e-01,-5.113829357723284064e-01
3.440544007420165973e-01,-5.083807099721324718e-01
3.322309473724879281e-01,-5.051872936811656611e-01
3.208330525309141534e-01,-5.018259478696456277e-01
3.098471139973349442e-01,-4.983179673682675559e-01
2.992594425883279285e-01,-4.946828156762849704e-01
2.890563617066413404e-01,-4.909382550986829963e-01
2.792242904663518877e-01,-4.871004713992054813e-01
2.697498124251072049e-01,-4.831841924211254802e-01
2.606197317627289567e-01,-4.792028003420968907e-01
2.518211185602926006e-01,-4.751684374007469902e-01
2.433413446585476481e-01,-4.710921050675663246e-01
2.351681114109845927e-01,-4.669837567370502818e-01
2.272894704958443035e-01,-4.628523840971691117e-01
2.196938388132780862e-01,-4.587060973905554007e-01
2.123700083685552686e-01,-4.545521998231780714e-01
2.053071519292642422e-01,-4.503972564039674942e-01
1.984948251432382682e-01,-4.462471575156178316e-01
1.919229657136812817e-01,-4.421071775249455493e-01
1.855818901478633598e-01,-4.379820287426078318e-01
1.794622885249371469e-01,-4.338759110382610085e-01
1.735552176660363488e-01,-4.297925574096816970e-01
1.678520930350415885e-01,-4.257352757939698029e-01
1.623446796504664502e-01,-4.217069873966262650e-01
1.570250822470500018e-01,-4.177102618006253154e-01
1.518857348892385939e-01,-4.137473491031996575e-01
1.469193902070827229e-01,-4.098202093132952695e-01
1.421191083977056124e-01,-4.059305392278518276e-01
1.374782461118087273e-01,-4.020797969904784663e-01
1.329904453243034856e-01,-3.982692245219300320e-01
1.286496222705862669e-01,-3.944998679980997180e-01
1.244499565149726761e-01,-3.907725965382002342e-01
1.203858802048921317e-01,-3.870881192534268989e-01
1.164520675535273275e-01,-3.834470007947079484e-01
1.126434245841905907e-01,-3.798496755271756342e-01
1.089550791618767583e-01,-3.762964604487413767e-01
1.053823713307017601e-01,-3.727875669606083298e-01
1.019208439703672281e-01,-3.693231115886465576e-01
9.856623378003476210e-02,-3.659031257463693509e-01
9.531446259412230948e-02,-3.625275646226231996e-01
9.216162903126151607e-02,-3.591963152700743955e-01
8.910400047503036491e-02,-3.559092039639867866e-01
8.613800538274225815e-02,-3.526660028954743398e-01
8.326022591719904609e-02,-3.494664362565413351e-01
8.046739089440484161e-02,-3.463101857710038645e-01
7.775636903959054491e-02,-3.431968957193630709e-01
7.512416254283788009e-02,-3.401261775021783840e-01
7.256790090502093782e-02,-3.370976137824486241e-01
7.008483506439515398e-02,-3.341107622439953850e-01
6.767233179381282326e-02,-3.311651589996318368e-01
6.532786835844765772e-02,-3.282603216799415691e-01
6.304902742382814673e-02,-3.253957522308000838e-01
6.083349220401632063e-02,-3.225709394453176171e-01
5.867904183989408606e-02,-3.197853612536380452e-01
5.658354699765389545e-02,-3.170384867919710525e-01
5.454496567781517286e-02,-3.143297782703762255e-01
5.256133922532219699e-02,-3.116586926571045524e-01
5.063078853154982101e-02,-3.090246831957455531e-01
4.875151041932323376e-02,-3.064272007700136191e-01
4.692177420237188951e-02,-3.038656951297104558e-01
4.513991841093561996e-02,-3.013396159902109184e-01
4.340434767556905493e-02,-2.988484140167534386e-01
4.171352976149460962e-02,-2.963915417038245348e-01
4.006599274618265205e-02,-2.939684541590338873e-01
3.846032233314107540e-02,-2.915786098000534010e-01
3.689515929520990195e-02,-2.892214709724539867e-01
3.536919704095819322e-02,-2.868965044955834598e-01
3.388117929806744311e-02,-2.846031821430170528e-01
3.242989790788142895e-02,-2.823409810635327255e-01
3.101419072557059370e-02,-2.801093841480600810e-01
2.963293962062718903e-02,-2.779078803475634740e-01
2.828506857266390936e-02,-2.757359649463975160e-01
2.696954185774770585e-02,-2.735931397952792721e-01
2.568536232071009714e-02,-2.714789135076545179e-01
2.443156972913011066e-02,-2.693928016229164557e-01
2.320723920489905709e-02,-2.673343267396269263e-01
2.201147972944000886e-02,-2.653030186216122077e-01
2.084343271895280209e-02,-2.632984142795781746e-01
1.970227066610464803e-02,-2.613200580306171417e-01
1.858719584491102042e-02,-2.593675015378388293e-01
1.749743907558328621e-02,-2.574403038320945414e-01
1.643225854650448223e-02,-2.555380313174016593e-01
1.539093869010716396e-02,-2.536602577625970967e-01
1.437278911060316071e-02,-2.518065642791828540e-01
1.337714356038499641e-02,-2.499765392883365189e-01
1.240335896302170553e-02,-2.481697784774031801e-01
1.145081448049805294e-02,-2.463858847473223423e-01
1.051891062246740512e-02,-2.446244681519793851e-01
9.607068395511619840e-03,-2.428851458304660260e-01
8.714728490416080720e-03,-2.411675419331041070e-01
7.841350505636557333e-03,-2.394712875420097753e-01
6.986412205160308017e-03,-2.377960205869381061e-01
6.149408809140255103e-03,-2.361413857570545949e-01
5.329852315686597029e-03,-2.345070344092086978e-01
4.527270852319293173e-03,-2.328926244732812401e-01
3.741208055680378484e-03,-2.312978203550623280e-01
2.971222478127363582e-03,-2.297222928371267792e-01
2.216887019946902054e-03,-2.281657189780838813e-01
1.477788385969480830e-03,-2.266277820105931096e-01
7.535265654173071807e-04,-2.251081712384434830e-01
4.371433391151642659e-05,-2.236065819330097237e-01
-6.520232234154798570e-04,-2.221227152293474005e-01
-1.334049168682117448e-03,-2.206562780221650311e-01
-2.002715148839939903e-03,-2.192069828618884164e-01
-2.658361814954506366e-03,-2.177745478510077770e-01
-3.301319224040409096e-03,-2.163586965408858809e-01
-3.931907224243331479e-03,-2.149591578291662197e-01
-4.550435824151602242e-03,-2.135756658579423817e-01
-5.157205546931825126e-03,-2.122079599127779104e-01
-5.752507770012326924e-03,-2.108557843227125417e-01
-6.336625050939724904e-03,-2.095188883613270381e-01
-6.909831440057280505e-03,-2.081970261489606011e-01
-7.472392780570700534e-03,-2.068899565561508891e-01
-8.024566996594947529e-03,-2.055974431083537335e-01
-8.566604369690195356e-03,-2.043192538919902934e-01
-9.098747804419870036e-03,-2.030551614618870959e-01
-9.621233083391470681e-03,-2.018049427501232562e-01
-1.013428911228126360e-02,-2.005683789763234026e-01
-1.063813815522865469e-02,-1.993452555594268094e-01
-1.113299606106957912e-02,-1.981353620309522778e-01
-1.161907248079938927e-02,-1.969384919497722819e-01
-1.209657107654777720e-02,-1.957544428182162732e-01
-1.256568972267025491e-02,-1.945830160002975651e-01
-1.302662069899771305e-02,-1.934240166405399586e-01
-1.347955087677466489e-02,-1.922772535851031417e-01
-1.392466189755147549e-02,-1.911425393040648568e-01
-1.436213034531063325e-02,-1.900196898152881619e-01
-1.479212791211874031e-02,-1.889085246097974569e-01
-1.521482155758993766e-02,-1.878088665786356581e-01
-1.563037366239675846e-02,-1.867205419411966383e-01
-1.603894217610205356e-02,-1.856433801750280721e-01
-1.644068075952437313e-02,-1.845772139470781836e-01
-1.683573892187665774e-02,-1.835218790463677141e-01
-1.722426215288799106e-02,-1.824772143180818651e-01
-1.760639205011605909e-02,-1.814430615990489937e-01
-1.798226644164242771e-02,-1.804192656545929030e-01
-1.835201950434322757e-02,-1.794056741167355529e-01
-1.871578187790800055e-02,-1.784021374237327040e-01
-1.907368077478314647e-02,-1.774085087609155176e-01
-1.942584008620132016e-02,-1.764246440028210128e-01
-1.977238048445261256e-02,-1.754504016565872904e-01
-2.011341952154503329e-02,-1.744856428065848231e-01
-2.044907172440629806e-02,-1.735302310602733766e-01
-2.077944868674433399e-02,-1.725840324952488958e-01
-2.110465915771838480e-02,-1.716469156074697799e-01
-2.142480912753497169e-02,-1.707187512606277435e-01
-2.174000191008747945e-02,-1.697994126366457468e-01
-2.205033822275919222e-02,-1.688887751872893139e-01
-2.235591626348931715e-02,-1.679867165868445533e-01
-2.265683178522123753e-02,-1.670931166858709294e-01
-2.295317816782577180e-02,-1.662078574659851260e-01
-2.324504648758799613e-02,-1.653308229956564901e-01
-2.353252558436785477e-02,-1.644618993870029799e-01
-2.381570212650703511e-02,-1.636009747535579761e-01
-2.409466067356922855e-02,-1.627479391689798105e-01
-2.436948373700196374e-02,-1.619026846267074826e-01
-2.464025183879704761e-02,-1.610651050005064977e-01
-2.490704356821580798e-02,-1.602350960059267526e-01
-2.516993563665226308e-02,-1.594125551626093540e-01
-2.542900293072500317e-02,-1.585973817574501954e-01
-2.568431856354719267e-02,-1.577894768084988630e-01
-2.593595392474389374e-02,-1.569887430302565612e-01
-2.618397872789401601e-02,-1.561950847982786772e-01
-2.642846105775560617e-02,-1.554084081165768016e-01
-2.666946741495499970e-02,-1.546286205842013761e-01
-2.690706275970822930e-02,-1.538556313632376271e-01
-2.714131055406258583e-02,-1.530893511474049340e-01
-2.737227280279320996e-02,-1.523296921313405106e-01
-2.760001009303968134e-02,-1.515765679805871902e-01
-2.782458163269559137e-02,-1.508298938022631652e-01
-2.804604528758784798e-02,-1.500895861163611955e-01
-2.826445761751883792e-02,-1.493555628277224157e-01
-2.847987391118013412e-02,-1.486277431986098296e-01
-2.869234822000329976e-02,-1.479060478219076380e-01
-2.890193339096953223e-02,-1.471903985949101767e-01
-2.910868109841105097e-02,-1.464807186937033268e-01
-2.931264187485303763e-02,-1.457769325481020894e-01
-2.951386514091461008e-02,-1.450789658171542651e-01
-2.971239923431525515e-02,-1.443867453651843935e-01
-2.990829143800457363e-02,-1.437001992383601934e-01
-3.010158800744412375e-02,-1.430192566417892164e-01
-3.029233419709181918e-02,-1.423438479171057758e-01
-3.048057428608439562e-02,-1.416739045205646086e-01
-3.066635160316924166e-02,-1.410093590016032183e-01
-3.084970855089577690e-02,-1.403501449818839175e-01
-3.103068662910294859e-02,-1.396961971347836229e-01
-3.120932645771483382e-02,-1.390474511653438383e-01
